user,Gender?,College,Whiskey Sour,Old Fashion,Whiskey Coke,Pickle Back,Tequila Sunrise,Margarita,Freddy��Fudpucker,Bacardi Cocktail,Rum and Coke,Mojito,Daiquiri,Malibu,Blue Hawaii,Mai Tai,Gimlet,Gin and Tonic,French 75,White Russian,Cran Vodka,Appletini,Cosmo,Blue Guy,Screwdriver,Moscow Mule,Lemon Drop,Sex on the Beach,Mimosa,Long Island,SF Slide,"Please add you favorite drinks we may have missed (seperate multiple values with a ',')",Start Date (UTC),Submit Date (UTC),Network ID
7b61e0e8fc5b964d34470c2f56652d84,Male,College of Engineering,1,0,-1,-1,1,1,0,1,1,1,0,-1,0,0,1,-1,0,-1,1,1,1,-1,1,0,1,1,1,1,0,,10/5/16 17:55,10/5/16 17:57,df45ff25ad
96bb5560fe124d492de5cba6b5a800c6,Male,College of Engineering,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,,10/5/16 18:01,10/5/16 18:02,6cdee76863
40615f30c14a9c46b284cc92486fa3e2,Male,College of Business,0,0,-1,0,-1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,,10/5/16 18:02,10/5/16 18:03,807d12718c
f6c7df0f088000505ed6d4580d0c3845,Male,College of LAS,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,-1,0,1,1,1,1,1,1,1,1,1,1,1,0,,10/5/16 18:04,10/5/16 18:06,807d12718c
5b7cc0cbead0f7bfffbdd767e82df3cb,Male,College of LAS,0,0,1,0,1,1,0,1,1,0,1,-1,1,1,0,0,0,1,-1,-1,-1,1,-1,0,0,1,0,0,0,,10/5/16 18:06,10/5/16 18:08,69a4e42882
e996893c48f48aa05850b9187c002827,Male,College of Engineering,0,0,1,0,1,1,0,0,-1,0,1,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,1,0,,10/5/16 18:06,10/5/16 18:08,0795f70628
21605e867f0cc03e5ae84987506087ee,Male,Other,-1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,,10/5/16 18:07,10/5/16 18:09,b5b5b60e92
6b3401f040f024a3adb668de9223d356,Female,College of LAS,-1,-1,1,0,1,1,1,-1,,1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,,10/5/16 18:08,10/5/16 18:10,1bcf422d56
ef27933b42a1844357ec67c01fa9b6e5,Male,College of Engineering,0,0, ,,1,1,1,1,-1,1,1,0,0,1,0,-1,0,1,1,0,0,1,0,0,1,1,1,1,0,,10/5/16 18:08,10/5/16 18:11,df45ff25ad
a60a199fdccecf3a2bdb7fce3e5ad3e8,Other,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10/5/16 18:10,10/5/16 18:12,cdb56cd7fb
